# Citation/License/Copyright:,"LeBauer, David, Michael Dietze, Rob Kooper, Steven Long, Patrick Mulrooney, Gareth Scott Rohde, Dan Wang (2010).  Biofuel Ecophysiological Traits and Yields Database (BETYdb), Energy Biosciences Institute, University of Illinois at Urbana-Champaign.  doi:10.13012/J8H41PB9
All public data in BETYdb is made available under the Open Data Commons Attribution License (ODC-By) v1.0. You are free to share, create, and adapt its contents.  Data with an access_level field and value &lt;= 2 is not covered by this license but may be available for use with consent.
Copyright © 2010-2014 Energy Biosciences Institute"
#
# Contact:,betydb@gmail.com
#
# SQL query:,"SELECT ""traits_and_yields_view"".* FROM ""traits_and_yields_view""  WHERE (traits_and_yields_view.access_level >= 4) AND (checked >= 1)"
#
# Time of query:,2017-05-26 16:33:16 UTC
#
checked,sitename,city,lat,lon,scientificname,commonname,genus,cultivar,author,citation_year,treatment,date,time,month,year,raw_date,dateloc,trait,mean,units,n,statname,stat,notes,entity,method
checked,"","",[missing],[missing],Prunus persica,peach,Prunus,"",Wullschleger,1993,observational,"","","","","","",Jmax,148,umol photons m-2 s-1,2,SE,5.000,"n calculated from relationship between CI and SE, assuming neff data$vneff <- (data$vse/data$vsd)^2 + 1, in file wul93err.R","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Betula papyrifera,paper birch,Betula,"",Darbah,2010,ambient CO2/Low Temp,"","","","","",4.0,Amax,7.42,umol CO2 m-2 s-1,3,SE,1.300,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,elevated CO2/High Temp,"","","","","",4.0,Amax,14.8,umol CO2 m-2 s-1,3,SE,1.500,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/High Temp,"","","","","",4.0,Amax,4.96,umol CO2 m-2 s-1,3,SE,1.600,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,elevated CO2/Low Temp,"","","","","",4.0,Amax,14.3,umol CO2 m-2 s-1,3,SE,0.400,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/Low Temp,"","","","","",4.0,Amax,10.4,umol CO2 m-2 s-1,3,SE,1.100,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,elevated CO2/High Temp,"","","","","",4.0,Amax,16.3,umol CO2 m-2 s-1,3,SE,2.300,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/High Temp,"","","","","",4.0,Amax,5.12,umol CO2 m-2 s-1,3,SE,2.400,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,elevated CO2/Low Temp,"","","","","",4.0,Amax,15.4,umol CO2 m-2 s-1,3,SE,2.300,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Populus tremuloides,quaking aspen,Populus,"",Darbah,2010,ambient CO2/Low Temp,"","","","","",4.0,Amax,11.8,umol CO2 m-2 s-1,3,SE,1.600,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Betula papyrifera,paper birch,Betula,"",Darbah,2010,elevated CO2/High Temp,"","","","","",4.0,Vcmax,55.0,umol CO2 m-2 s-1,3,SE,27.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Betula papyrifera,paper birch,Betula,"",Darbah,2010,ambient CO2/High Temp,"","","","","",4.0,Vcmax,42.0,umol CO2 m-2 s-1,3,SE,26.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Betula papyrifera,paper birch,Betula,"",Darbah,2010,elevated CO2/Low Temp,"","","","","",4.0,Vcmax,119,umol CO2 m-2 s-1,3,SE,8.000,"","",""
checked,AspenFACE,Rhinelander,45.67,-89.62,Betula papyrifera,paper birch,Betula,"",Darbah,2010,ambient CO2/Low Temp,"","","","","",4.0,Vcmax,85.0,umol CO2 m-2 s-1,3,SE,19.000,"","",""
